# tiers: junk (structural non-taxon markers) | possible_plant (kept for review)
organism_id	scientific_name	tier	reason
Plant_terrestrial_streptomycete	terrestrial streptomycete	possible_plant	
Plant_AB_1246E-26_NRRL_18371	AB 1246E-26 (NRRL 18371)	junk	contains digits (strain/catalog id)
Plant_Auto_oxidation_products_of_astaxanthin_with_hydroxy_radicals_superoxide_anion_radicals_and_singlet_oxygen.	Auto oxidation products of astaxanthin with hydroxy radicals, superoxide anion radicals, and singlet oxygen.	possible_plant	
Plant_Bolinea_lutea_Sacc.	Bolinea lutea Sacc.	possible_plant	
Plant_Carapax_et_plastrum_testudinis	Carapax et plastrum testudinis	junk	Latin drug phrase (seu/et)
Plant_Clycyrrhiza_glabra	Clycyrrhiza glabra	possible_plant	
Plant_Cortex_mori_radicis_praeparata	Cortex mori radicis praeparata	junk	pharmacognosy part-name ('cortex')
Plant_Cossypium_herbaceum	Cossypium herbaceum	possible_plant	
Plant_Diffenbachia_sp._ATCC_46314	Diffenbachia sp. ATCC 46314	junk	contains digits (strain/catalog id)
Plant_Fornes_officinalis	Fornes officinalis	possible_plant	
Plant_G._lindblomi	G. lindblomi	possible_plant	
Plant_Grass-of-Parnassus	Grass-of-Parnassus	possible_plant	
Plant_Hilanthus_annuus	Hilanthus annuus	possible_plant	
Plant_Intermediate_wintergreen	Intermediate wintergreen	possible_plant	
Plant_MEXU_27095	MEXU 27095	junk	contains digits (strain/catalog id)
Plant_Marine_fungi	Marine fungi	junk	non-plant/unknown marker ('fungi')
Plant_Melanoselenium_decipiens	Melanoselenium decipiens	possible_plant	
Plant_Oleum_curcumae	Oleum curcumae	junk	pharmacognosy part-name ('oleum')
Plant_Oleum_linderae	Oleum linderae	junk	pharmacognosy part-name ('oleum')
Plant_Pentemon_gentianoides_HBK	Pentemon gentianoides HBK	possible_plant	
Plant_Pericarpium_pyri	Pericarpium pyri	junk	pharmacognosy part-name ('pericarpium')
Plant_Phantasmal_poison_frog	Phantasmal poison frog	possible_plant	
Plant_Purple_soft_coral	Purple soft coral	possible_plant	
Plant_Red-lined_Carrion_Beetle	Red-lined Carrion Beetle	possible_plant	
Plant_Semen_arecae	Semen arecae	junk	pharmacognosy part-name ('semen')
Plant_Semen_benincasae	Semen benincasae	junk	pharmacognosy part-name ('semen')
Plant_Semen_phaseoli	Semen phaseoli	junk	pharmacognosy part-name ('semen')
Plant_Umbrella_slug	Umbrella slug	junk	non-plant common-name token
Plant_Yam_vegetable	Yam (vegetable)	junk	contains brackets/parens (strain designation)
Plant_dragon_s_teeth	dragon's teeth	possible_plant	
Plant_gai_lan	gai lan	possible_plant	
Plant_macroalgae	macroalgae	possible_plant	
Plant_madagascan_frogs	madagascan frogs	possible_plant	
Plant_northern_prawn	northern prawn	possible_plant	
Plant_occurs_in_many_fungi	occurs in many fungi	junk	non-plant/unknown marker ('fungi')
Plant_Acangelisia_gusanlung	Acangelisia gusanlung	possible_plant	
Plant_Amphimelon_sp._SS955	Amphimelon sp. SS955	junk	contains digits (strain/catalog id)
Plant_Animal_Venoms	Animal Venoms	possible_plant	
Plant_CR1488E	CR1488E	junk	contains digits (strain/catalog id)
Plant_Camaecytisus_absinthioides	Camaecytisus absinthioides	possible_plant	
Organism_53665	Catechu	possible_plant	
