# per-organism common-name source; precedence gbif/ncbi > wikidata > duke
organism_id	scientific_name	common_name	source
Organism_4218	Picrorhiza kurrooa	Picrorhiza	duke
Organism_5371	Picea jezoensis	Yezo Spruce	gbif
Organism_1535	Saussurea lappa	kuth	ncbi
Organism_883	Artemisia herba-alba	Pyrenean Wormwood	gbif
Organism_22081	Bupleurum falcatum	Sickle-leaved Hare's-ear	gbif
Organism_2473	Clausena excavata	Coffee Bush	gbif
Organism_44350	Aloe africana	African aloe	gbif
Organism_170	Diospyros kaki	Japanese persimmon	gbif
Organism_11507	Platycladus orientalis	Chinese Thuja	gbif
Organism_4855	Ononis spinosa	Spiny Restharrow	gbif
Organism_15658	Pentaclethra macrophylla	African Oil Bean	gbif
Organism_43864	Solanum laxum	Nightshade	gbif
Organism_7521	Eucommia ulmoides	Gutta percha	gbif
Organism_4088	Nerium oleander	Oleander	gbif
Organism_6297	Pterocaulon virgatum	Wand Blackroot	gbif
Organism_114	Ruta graveolens	Common Rue	gbif
Organism_29421	Ipomoea digitata	finger-leaf morning-glory	gbif
Organism_7666	Linum usitatissimum	Cultivated Flax	gbif
Organism_9310	Lysimachia mauritiana	Spoon-leaf yellow loosestrife	gbif
Organism_10914	Pinellia ternata	crowdipper	gbif
Organism_3342	Ailanthus altissima	Tree of Heaven	gbif
Organism_8341	Picrasma quassioides	Bitterwood	gbif
Organism_10325	Caragana aurantiaca	Dwarf peashrub	gbif
Organism_921	Embelia schimperi	River Dotleaf	gbif
Organism_22704	Lepisorus ussuriensis	Ussuri weeping fern	gbif
Organism_7782	Acacia adunca	Wallangarra wattle	gbif
Organism_5257	Crinum moorei	Inanda Lily	gbif
Organism_3825	Juglans nigra	Black Walnut	gbif
Plant_broad_bean	broad bean	broad bean	ncbi
Organism_3363	Dendrobium nobile	Noble Dendrobium	gbif
Organism_14455	Eleutherococcus senticosus	Devil's Bush	gbif
Organism_4113	Lantana camara	Statia Sage	gbif
Organism_3228	Pongamia pinnata	Indian beech, Pongam oiltree	gbif
Organism_4311	Gossypium hirsutum	Cotton	gbif
Organism_939	Khaya senegalensis	African Mahogany	gbif
Organism_43895	Rumex maritimus	Golden Dock	gbif
Organism_15487	Akebia trifoliata	chocolate-vine	gbif
Organism_395	Coffea arabica	Arabica Coffee	gbif
Organism_45186	Juniperus drupacea	Syrian Juniper	gbif
Organism_11716	Arctium lappa	Greater Burdock	gbif
Organism_43795	Astragalus sempervirens	Mountain Tragacanth	gbif
Organism_44675	Salvia hispanica	Chia	gbif
Organism_44351	Aloe spicata	Gazaland aloe	gbif
Organism_43799	Annona cornifolia	Red custard apple	gbif
Organism_29981	Eucalyptus apodophylla	Whitebark	gbif
Organism_43858	Helipterum roseum	Paper daisy	gbif
Organism_3227	Millettia pinnata	Indian pongamia	gbif
Organism_30095	Ocimum tenuiflorum	Holy Basil	gbif
Organism_1988	Swertia japonica	East Asian swertia	gbif
Organism_44586	Actaea simplex	Cimicifuga simplex	wikidata
Organism_45184	Gypsophila perfoliata	perfoliate baby's-breath	gbif
Organism_6725	Taiwania cryptomerioides	Coffin Tree	gbif
Organism_44846	Dahlia pinnata	Dahlia	gbif
Organism_1406	Aristolochia elegans	Calico flower, Elegant Dutchman's Pipe, Dutchman’s pipe vine, Pipe vine, Duck vine	gbif
Organism_2095	Andrographis paniculata	Green Chiretta	gbif
Organism_2660	Sinapis alba	White Mustard	gbif
Organism_4862	Trifolium pratense	Red Clover	gbif
Organism_65	Angelica dahurica	Dahurian angelica	gbif
Organism_179	Solanum lycopersicum	tomato	gbif
Organism_2969	Annona cherimola	Cherimoya	gbif
