chem_id,inchikey,mw,exact_mw,logp,tpsa,hbd,hba,rotatable_bonds,aromatic_rings,ring_count,fraction_csp3,heavy_atoms,heteroatoms,formal_charge,qed,ro5_violations
Chemical_2493780417882168509,HAWHWUJMXJUFKL-UHFFFAOYSA-N,300.31,300.0998,3.097,83.06,3,5,4,3,3,0.1765,22,5,0,0.6449,0
Chemical_9162860044913598046,"2-(3,4-Dihydroxy-4-Hydroxymethyl-Tetrahydro-Furan-2-Yloxymethyl)-6-[(R)-3-(4-Hydroxy-Phenyl)-1-Methyl-Propoxy]-Tetrahydro-Pyran-3,4,5-Triol",460.476,460.1945,-2.005,178.53,7,11,9,1,3,0.7143,32,11,0,0.2166,2
Chemical_8608705482203086791,"(2S,3S,4S,5S,6S)-2-[(2R,3S,4S,5R,6S)-4,5-dihydroxy-6-(hydroxymethyl)-2-[(1R,2S,4S,5'R,6R,7S,8R,9S,12S,13S,16S,18R)-5',7,9,13-tetramethylspiro[5-oxapentacyclo[10.8.0.02,9.04,8.013,18]icosane-6,2'-oxane]-16-yl]oxyoxan-3-yl]oxy-6-(hydroxymethyl)oxane-3,4,5-triol",740.928,740.4347,1.442,196.99,7,13,6,0,8,1.0,52,13,0,0.1936,3
Chemical_2669862077875490417,XNKMKJDPUXBNMH-QDYVESOYSA-N,640.547,640.1639,-2.763,278.66,10,17,8,3,5,0.4643,45,17,0,0.1193,3
Chemical_4695639612079446381,GNTVNVHWPBXBQA-LQXDNRCBSA-N,434.529,434.2305,2.323,110.13,2,7,2,0,4,0.7917,31,7,0,0.5069,0
Chemical_5370174696892949795,ZUFMIVCEIDLVIU-FLIBITNWSA-N,258.405,258.1984,4.374,17.07,0,1,5,0,4,0.8333,19,1,0,0.669,0
Chemical_9200198081207411800,Steganoate B,430.453,430.1628,3.011,81.68,0,8,5,2,4,0.4348,31,8,0,0.67,0
Chemical_5535512618091619274,UDRPERFNEICWTJ-LZWSPWQCSA-N,310.441,310.2045,4.07,28.26,1,2,0,2,4,0.5,23,3,0,0.743,0
Chemical_1451609476975338801,OSELKOCHBMDKEJ-VFZHZRQBSA-N,412.702,412.3705,7.945,20.23,1,1,5,0,4,0.8621,30,1,0,0.4542,1
Chemical_3551773880184424913,nan,448.421,448.1581,-3.296,198.76,8,12,6,1,3,0.6842,31,12,0,0.216,2
Chemical_8405969871059618704,Eschweilenol A,426.289,426.0223,2.516,191.03,6,11,2,5,5,0.0,31,11,0,0.138,2
Chemical_6064813298682648923,Ethyl Tumonoate A,367.53,367.2723,3.844,66.84,1,4,11,0,1,0.8095,26,5,0,0.3422,0
Chemical_3797711037272618115,nan,425.346,425.0958,-0.93,195.84,6,9,7,2,3,0.3889,30,12,0,0.2368,1
Chemical_273043641695954858,ZBDTYWHJRWZCPN-ZWKOTPCHSA-N,290.403,290.1882,3.117,38.83,0,3,10,0,1,0.7222,21,3,0,0.2685,0
Chemical_1852222657643951171,GPTAWZLFSGYZGC-GWGVWUHLSA-N,647.718,647.2942,-0.627,173.68,4,13,8,1,7,0.7576,46,13,0,0.2632,2
Chemical_5476602777898132851,"2-Hydroxy-5-Methoxy-3-Octadecylcyclohexa-2,5-Diene-1,4-Dione",406.607,406.3083,7.132,63.6,1,4,18,0,1,0.76,29,4,0,0.1941,1
Chemical_390098777787427611,DYCCFDCWPCLBHV-RVDMUPIBSA-N,312.409,312.1725,5.173,39.44,0,3,6,2,2,0.35,23,3,0,0.5452,1
Chemical_127997713486864442,nan,528.73,528.3451,5.856,93.06,2,6,5,0,5,0.8125,38,6,0,0.4346,2
Chemical_5299621493123178622,DONUVZIVKLIMJU-UHFFFAOYSA-N,263.252,263.0582,2.772,39.94,0,4,0,4,5,0.0625,20,4,0,0.4579,0
Chemical_731727471636656083,FBZHCWZWZBCJJE-UHFFFAOYSA-N,320.517,320.2715,6.502,37.3,1,1,16,0,0,0.7619,23,2,0,0.2,1
Chemical_3440361959228795333,(+)-Haemanthamine,301.342,301.1314,1.187,51.16,1,5,1,1,5,0.5294,22,5,0,0.7897,0
Chemical_2557211491541422966,OYONMULSODZRLZ-UHFFFAOYSA-N,339.391,339.1471,3.289,49.28,0,5,4,2,4,0.35,25,5,0,0.8576,0
Chemical_5622871583254537291,CAZUDQZWTAQDDH-OXHZDVMGSA-N,222.328,222.162,2.853,34.14,0,2,4,0,2,0.8571,16,2,0,0.7326,0
Chemical_8541673662901105286,SLKPBCXNFNIJSV-OAHLLOKOSA-N,202.341,202.1722,4.463,0.0,0,0,1,1,2,0.6,15,0,0,0.6303,0
Chemical_1196236286954966632,CBHVRILJVSEUEF-UHFFFAOYSA-N,226.316,226.1569,1.083,60.69,3,3,3,0,2,0.8462,16,3,0,0.6311,0
Chemical_3556968268746030606,KNAPHRIACIMBNT-STXXVOARSA-N,544.512,544.1369,4.754,158.3,6,10,2,4,7,0.2,40,10,0,0.1945,2
Chemical_4344340738489100408,VYVRZLCAWAYCLN-HPTQLZOGSA-N,602.9,602.4335,8.809,73.22,3,4,10,0,3,0.55,44,4,0,0.1726,2
Chemical_3914317753934709764,RPBALHQFWPCWRG-ATIXXGFVSA-N,815.998,815.4456,5.731,218.71,5,13,15,0,2,0.6136,58,14,0,0.0578,3
Chemical_7806384685493373182,Arenarioside,756.707,756.2477,-2.553,304.21,11,19,12,2,5,0.5588,53,19,0,0.0603,3
Chemical_4950043198086665668,ZHDRLFGZQZCZKX-BQOUFORSSA-N,410.73,410.3913,9.054,0.0,0,0,1,0,5,0.9333,30,0,0,0.3781,1
Chemical_8858935373502806340,nan,220.356,220.1827,3.696,20.23,1,1,1,0,2,0.7333,16,1,0,0.6681,0
Chemical_6680579037095353576,NAHTXVIXCMUDLF-SLWGVJJJSA-N,574.623,574.2414,1.466,165.26,3,11,3,1,7,0.7667,41,11,0,0.3535,2
Chemical_5657081931222057481,Dictamdiol A,278.304,278.1154,1.716,79.9,2,5,1,1,3,0.5333,20,5,0,0.6037,0
Chemical_2434256347699278442,Epi-Oleanolic Acid,456.711,456.3603,7.234,57.53,2,2,1,0,5,0.9,33,3,0,0.4091,1
